Trend Family,Description,Typical Behavior
Streaks,Long runs of BIG or SMALL (sometimes 10–19+).,"Ride until exhaustion, then flip."
Alternations,BIG → SMALL → BIG → SMALL repeating.,"Short “ping-pong” cycles, 2–5 rounds."
Clusters,Groups of 2–3 SMALLs followed by 4–6 BIGs.,Mini waves inside larger streaks.
Breakers,Digits like SMALL 0 or SMALL 1 often break streaks.,Act as reversal signals.
Cycles,BIG streak → SMALL streak → BIG streak repeating.,2–3 loop cycles before reset.
Exhaustion Reversals,"After 8–12 rounds of same color, reversal probability spikes.",Collapse into opposite color.
Mirrors,Sequences like BIG 7 → SMALL 3 → BIG 7 → SMALL 3.,Digits mirror each other across rounds.
Compression/Expansion,Tight clusters vs wide spreads.,Compression → sudden expansion bursts.
Momentum Bias,Continuation tendency after BIG 7/8/9 or SMALL 0/1.,Strong digits carry streak forward.
Hybrid Chains,Mix of streaks + alternations + reversals.,Complex sequences like BIG BIG → SMALL → BIG → SMALL.
Echo Patterns,A digit repeats after 2–3 rounds gap.,Example: BIG 8 → SMALL 2 → BIG 8.
Doublets/Triplets,Same digit appears twice or thrice consecutively.,BIG 9 → BIG 9 or SMALL 1 → SMALL 1 → SMALL 1.
Waveforms,Outcomes rise/fall like a sine wave.,BIG 5 → BIG 7 → BIG 9 → SMALL 3 → SMALL 1.
Anchor Digits,"Certain digits (BIG 5, SMALL 3) recur as anchors.",They reset the flow after volatility.
False Breaks,A single SMALL inside a BIG streak (or vice versa).,Quickly overridden by continuation.
Symmetry Loops,Balanced sequences like BIG 7 → SMALL 2 → BIG 7 → SMALL 2.,Creates mirror-like rhythm.
Spikes,Sudden BIG 9 or SMALL 0 after mid-range digits.,Acts as shock before return to normal.
Drift Patterns,Gradual shift from BIG dominance to SMALL dominance.,Happens over 10–15 rounds.
Reset Bursts,"After extreme streak (15+), sudden opposite burst.",Example: 17 BIGs → 5 SMALLs.